review,rating,date,bank,scrape_lang,source,detected_language
Good ap,5,2025-01-11,CBE,am,Google Play,en
"It is very usefully app that contains the very important contents in it &Hence, the devellopers should be thanked enough!",5,2024-08-07,CBE,am,Google Play,en
Good app,5,2024-04-25,CBE,am,Google Play,en
Interested application,5,2024-03-26,CBE,am,Google Play,en
its good,5,2024-03-10,CBE,am,Google Play,en
it's good app so i am happy!!!,5,2021-08-15,CBE,am,Google Play,en
it is not functional for all android phone like mine ...techno cammon c9 So i can't instal or can not recieve from my freinds So think over it,1,2020-08-08,CBE,am,Google Play,en
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,BOA,en,Google Play,en
this is worest app 24/7 loading,1,2025-06-01,BOA,en,Google Play,en
This App is not interest for Android phone Please update it .,1,2025-06-01,BOA,en,Google Play,en
BoA system is confartable,5,2025-06-01,BOA,en,Google Play,en
very nice Abyssinia bank is choice all,5,2025-05-31,BOA,en,Google Play,en
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27,BOA,en,Google Play,en
Good service.,3,2025-05-25,BOA,en,Google Play,en
the app crush frequently,1,2025-05-24,BOA,en,Google Play,en
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21,BOA,en,Google Play,en
BoA,2,2025-05-20,BOA,en,Google Play,en
but not opening on android,4,2025-05-19,BOA,en,Google Play,en
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18,BOA,en,Google Play,en
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11,BOA,en,Google Play,en
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10,BOA,en,Google Play,en
liking this application good 👍,5,2025-05-07,BOA,en,Google Play,en
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06,BOA,en,Google Play,en
it's really good 👍,5,2025-04-23,BOA,en,Google Play,en
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23,BOA,en,Google Play,en
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20,BOA,en,Google Play,en
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19,BOA,en,Google Play,en
great boa,5,2025-04-10,BOA,en,Google Play,en
boa of mobile backing,5,2025-04-09,BOA,en,Google Play,en
faster bank of Abissinya,5,2025-04-08,BOA,en,Google Play,en
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08,BOA,en,Google Play,en
it just doesn't work...so frustrating,1,2025-04-07,BOA,en,Google Play,en
it's not work correctly... you must have update it,1,2025-04-06,BOA,en,Google Play,en
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04,BOA,en,Google Play,en
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04,BOA,en,Google Play,en
good but they don't update enough don't add new things,3,2025-04-04,BOA,en,Google Play,en
thank you,5,2025-04-02,BOA,en,Google Play,en
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-04-01,BOA,en,Google Play,en
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31,BOA,en,Google Play,en
good application,5,2025-03-30,BOA,en,Google Play,en
this version is not working for me I cannot even buy card. I cannot send money,1,2025-03-30,BOA,en,Google Play,en
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29,BOA,en,Google Play,en
always problematic hardly works,1,2025-03-26,BOA,en,Google Play,en
